,0
2124,2.72
2125,
2126,4.74
2127,2.17
2128,1.76
2129,4.8
2130,3.47
2131,2.68
2132,6.94
2133,3.1
2134,1.07
2135,2.28
2136,2.6
2137,4.92
2138,1.99
2139,3.55
2140,3.27
2141,4.58
2142,2.36
2143,4.41
2144,
2145,4.33
2146,4.51
2147,
2148,2.78
2149,1.9
2150,
2151,1.81
2152,4.76
2153,2.04
2154,1.25
2155,5.54
2156,1.38
2157,7.01
2158,6.64
2159,1.81
2160,
2161,3.66
2162,
2163,5.87
2164,1.94
2165,7.45
2166,2.36
2167,
2168,2.85
2169,5.0
2170,4.01
2171,2.92
2172,10.43
2173,4.26
2174,4.23
2175,2.56
2176,2.36
2177,6.07
2178,1.81
2179,6.87
2180,3.8
2181,4.21
2182,2.46
2183,2.49
2184,6.9
2185,5.5
2186,1.13
2187,3.46
2188,2.36
2189,3.17
2190,2.11
2191,2.31
2192,2.92
2193,2.48
2194,3.1
2195,2.66
2196,2.11
2197,
2198,
2199,2.36
2200,2.39
2201,2.48
2202,3.1
2203,2.66
2204,
2205,2.78
2206,1.25
2207,
2208,9.15
2209,
2210,4.44
2211,2.65
2212,3.14
2213,5.01
2214,1.9
2215,
2216,4.15
2217,
2218,3.85
2219,2.36
2220,2.48
2221,3.37
2222,3.2
2223,3.85
2224,4.57
2225,2.78
2226,
2227,3.8
2228,
2229,
2230,3.57
2231,3.36
2232,
2233,5.66
2234,2.24
2235,1.9
2236,3.16
2237,3.66
2238,2.15
2239,3.19
2240,1.81
2241,5.93
2242,4.11
2243,4.76
2244,2.24
2245,2.78
2246,2.39
2247,2.78
2248,4.33
2249,5.14
2250,2.78
2251,
2252,
2253,1.69
2254,
2255,1.28
2256,5.87
2257,2.22
2258,4.23
2259,3.14
2260,2.36
2261,3.97
2262,2.93
2263,1.67
2264,6.64
2265,
2266,2.88
2267,2.1
2268,3.63
2269,1.92
2270,7.72
2271,1.81
2272,4.23
2273,2.33
2274,3.66
2275,
2276,4.95
2277,2.78
2278,0.77
2279,3.2
2280,
2281,4.11
2282,3.79
2283,5.13
2284,2.78
2285,2.36
2286,2.33
