"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"145","346.l.49099.t.1",16542,50,3,2015,"IP",3,15,1.66666666666667,0.555555555555556,1.62
"146","346.l.49099.t.2",16542,50,15,2015,"IP",15,6,0.666666666666667,0.222222222222222,1.62
"147","346.l.49099.t.3",16542,50,NA,2015,"IP",12,0.77,0.0855555555555556,0.0285185185185185,1.62
"148","346.l.49099.t.4",16542,50,NA,2015,"IP",12,6.17,0.685555555555556,0.228518518518519,1.62
"149","346.l.49099.t.5",16542,50,NA,2015,"IP",13,2.19,0.243333333333333,0.0811111111111111,1.62
"150","346.l.49099.t.6",16542,50,15,2015,"IP",15,3.6,0.4,0.133333333333333,1.62
"151","346.l.49099.t.7",16542,50,2,2015,"IP",2,0,0,0,1.62
"152","346.l.49099.t.8",16542,50,23.333,2015,"IP",24,2.7,0.3,0.1,1.62
"153","346.l.49099.t.9",16542,50,15.333,2015,"IP",16,1.17,0.13,0.0433333333333333,1.62
"154","346.l.49099.t.10",16542,50,14,2015,"IP",14,3.21,0.356666666666667,0.118888888888889,1.62
"155","346.l.49099.t.11",16542,50,4,2015,"IP",4,4.5,0.5,0.166666666666667,1.62
"156","346.l.49099.t.12",16542,50,8,2015,"IP",8,2.25,0.25,0.0833333333333333,1.62
"157","346.l.49099.t.1",16543,50,19.333,2015,"IP",20,2.79,0.31,0.103333333333333,1.62
"158","346.l.49099.t.2",16543,50,18,2015,"IP",18,4.5,0.5,0.166666666666667,1.62
"159","346.l.49099.t.3",16543,50,NA,2015,"IP",12,9.53,1.05888888888889,0.352962962962963,1.62
"160","346.l.49099.t.4",16543,50,15,2015,"IP",15,1.8,0.2,0.0666666666666667,1.62
"161","346.l.49099.t.5",16543,50,4,2015,"IP",4,11.25,1.25,0.416666666666667,1.62
"162","346.l.49099.t.6",16543,50,1,2015,"IP",1,0,0,0,1.62
"163","346.l.49099.t.7",16543,50,14.333,2015,"IP",15,3.77,0.418888888888889,0.13962962962963,1.62
"164","346.l.49099.t.8",16543,50,14,2015,"IP",14,3.21,0.356666666666667,0.118888888888889,1.62
